randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
237,1,237,0.900169083,0.004377082,0.01672861,0.078725225,0,0,0,0
238,1,238,0.89343544,0.005679992,0.017344833,0.083539735,0,0,0,0
239,1,239,0.898505123,0.004510326,0.017887825,0.079096726,0,0,0,0
240,1,240,0.897373075,0.005476186,0.018232447,0.078918292,0,0,0,0
241,1,241,0.899833356,0.004993921,0.017673119,0.077499604,0,0,0,0
242,1,242,0.897520559,0.00553534,0.017341759,0.079602342,0,0,0,0
243,1,243,0.892322411,0.005162825,0.01729618,0.085218584,0,0,0,0
244,1,244,0.897963519,0.005419298,0.018428643,0.07818854,0,0,0,0
245,1,245,0.894248653,0.005065764,0.019130708,0.081554875,0,0,0,0
246,1,246,0.890979547,0.00531679,0.018917167,0.084786496,0,0,0,0
247,1,247,0.893932084,0.005235534,0.017836458,0.082995924,0,0,0,0
248,1,248,0.896451445,0.005359084,0.01926098,0.078928491,0,0,0,0
249,1,249,0.898752731,0.004144598,0.018447767,0.078654904,0,0,0,0
250,1,250,0.895070013,0.005854441,0.018558404,0.080517142,0,0,0,0
251,1,251,0.894532058,0.004779651,0.019271826,0.081416465,0,0,0,0
252,1,252,0.894659085,0.005010387,0.019460875,0.080869653,0,0,0,0
253,1,253,0.893855457,0.005608309,0.019786093,0.080750141,0,0,0,0
254,1,254,0.894174503,0.005129371,0.018604665,0.082091461,0,0,0,0
255,1,255,0.889149696,0.005011963,0.018445164,0.087393177,0,0,0,0
256,1,256,0.890452103,0.006569303,0.01839499,0.084583604,0,0,0,0
257,1,257,0.892043565,0.005707801,0.017552048,0.084696586,0,0,0,0
258,1,258,0.894609457,0.004511327,0.019798782,0.081080434,0,0,0,0
259,1,259,0.89028137,0.006621533,0.019254831,0.083842266,0,0,0,0
260,1,260,0.893695494,0.007081415,0.017670527,0.081552564,0,0,0,0
261,1,261,0.894409037,0.007020914,0.018484012,0.080086037,0,0,0,0
262,1,262,0.894636951,0.007013399,0.016769961,0.081579689,0,0,0,0
263,1,263,0.900754426,0.006730566,0.018455719,0.074059289,0,0,0,0
264,1,264,0.898504815,0.008136092,0.018168951,0.075190142,0,0,0,0
265,1,265,0.901246636,0.007075263,0.017295832,0.074382269,0,0,0,0
266,1,266,0.901074363,0.005982438,0.017444243,0.075498956,0,0,0,0
267,1,267,0.898052941,0.008443583,0.015943169,0.077560307,0,0,0,0
268,1,268,0.897865179,0.008031082,0.015354152,0.078749587,0,0,0,0
269,1,269,0.900076688,0.008306046,0.015791709,0.075825557,0,0,0,0
270,1,270,0.899900946,0.010148935,0.015133942,0.074816177,0,0,0,0
271,1,271,0.902823847,0.009175677,0.015039236,0.07296124,0,0,0,0
272,1,272,0.902547195,0.009596759,0.015402235,0.072453811,0,0,0,0
273,1,273,0.900348437,0.011196369,0.015188253,0.073266941,0,0,0,0
274,1,274,0.907117268,0.009198313,0.014052055,0.069632364,0,0,0,0
275,1,275,0.903499616,0.010843281,0.014434952,0.071222151,0,0,0,0
276,1,276,0.905099152,0.013364092,0.014621845,0.066914911,0,0,0,0
277,1,277,0.906331701,0.011503855,0.013751188,0.068413256,0,0,0,0
278,1,278,0.903350649,0.013831989,0.013510911,0.069306451,0,0,0,0
279,1,279,0.90518279,0.012121706,0.013009969,0.069685535,0,0,0,0
280,1,280,0.908018399,0.013324439,0.013653882,0.06500328,0,0,0,0
281,1,281,0.909265309,0.014599342,0.013102963,0.063032386,0,0,0,0
282,1,282,0.906074228,0.014918302,0.011600607,0.067406863,0,0,0,0
283,1,283,0.906723263,0.013843188,0.011971606,0.067461943,0,0,0,0
284,1,284,0.904230703,0.017118038,0.010522548,0.068128711,0,0,0,0
285,1,285,0.909193188,0.017076742,0.010548812,0.063181258,0,0,0,0
286,1,286,0.908598881,0.016135729,0.010354827,0.064910563,0,0,0,0
287,1,287,0.908208808,0.016864715,0.01008076,0.064845717,0,0,0,0
288,1,288,0.909652526,0.017747918,0.009918129,0.062681427,0,0,0,0
289,1,289,0.906797555,0.017624978,0.009668153,0.065909314,0,0,0,0
290,1,290,0.902738717,0.018687146,0.009771601,0.068802536,0,0,0,0
291,1,291,0.903695744,0.021021572,0.009669252,0.065613432,0,0,0,0
292,1,292,0.908876953,0.019968214,0.00996853,0.061186303,0,0,0,0
293,1,293,0.907651931,0.019598525,0.008924425,0.063825119,0,0,0,0
294,1,294,0.909465572,0.017801593,0.009706342,0.063026494,0,0,0,0
295,1,295,0.911136735,0.016311183,0.00947556,0.063076522,0,0,0,0
296,1,296,0.910742131,0.019084118,0.008974066,0.061199686,0,0,0,0
297,1,297,0.913883626,0.015899336,0.009309241,0.060907797,0,0,0,0
298,1,298,0.908422349,0.017646305,0.009272388,0.064658957,0,0,0,0
299,1,299,0.911377907,0.017850588,0.009271069,0.061500436,0,0,0,0
300,1,300,0.915538619,0.014707049,0.009056808,0.060697524,0,0,0,0
301,1,301,0.910087831,0.018391179,0.00901887,0.06250212,0,0,0,0
302,1,302,0.909938046,0.016105077,0.008725256,0.065231621,0,0,0,0
303,1,303,0.910961843,0.016911556,0.008911865,0.063214736,0,0,0,0
304,1,304,0.913681897,0.01737737,0.009090688,0.059850044,0,0,0,0
305,1,305,0.918886863,0.01546141,0.009369818,0.056281908,0,0,0,0
306,1,306,0.916279323,0.015821172,0.010259062,0.057640443,0,0,0,0
307,1,307,0.91513558,0.014062638,0.009959849,0.060841933,0,0,0,0
308,1,308,0.911381867,0.014732946,0.011099343,0.062785844,0,0,0,0
309,1,309,0.90946833,0.015873954,0.011042383,0.063615333,0,0,0,0
310,1,310,0.911253296,0.014410033,0.011203137,0.063133533,0,0,0,0
311,1,311,0.908707001,0.014200267,0.012676936,0.064415796,0,0,0,0
312,1,312,0.913294323,0.012965361,0.012245369,0.061494947,0,0,0,0
313,1,313,0.910230504,0.01360978,0.01188319,0.064276526,0,0,0,0
314,1,314,0.910750398,0.014653125,0.011777905,0.062818572,0,0,0,0
315,1,315,0.915103611,0.011130442,0.012258327,0.06150762,0,0,0,0
316,1,316,0.909355308,0.012828902,0.012822957,0.064992833,0,0,0,0
317,1,317,0.911078198,0.012031596,0.011750258,0.065139948,0,0,0,0
318,1,318,0.910779191,0.011977669,0.012712859,0.064530282,0,0,0,0
319,1,319,0.911253971,0.012625417,0.013447789,0.062672823,0,0,0,0
320,1,320,0.911796754,0.011195966,0.013685397,0.063321883,0,0,0,0
321,1,321,0.909137594,0.011997256,0.01460449,0.06426066,0,0,0,0
322,1,322,0.908811307,0.011326106,0.013155631,0.066706956,0,0,0,0
323,1,323,0.906672537,0.01153565,0.013431794,0.06836002,0,0,0,0
324,1,324,0.909809478,0.010745802,0.013486939,0.065957781,0,0,0,0
325,1,325,0.909352257,0.008995523,0.014645155,0.067007064,0,0,0,0
326,1,326,0.905098951,0.011727186,0.014573482,0.068600381,0,0,0,0
327,1,327,0.910896745,0.009306271,0.015040932,0.064756052,0,0,0,0
328,1,328,0.907478715,0.009392596,0.014629631,0.068499058,0,0,0,0
329,1,329,0.907657188,0.010339229,0.013826286,0.068177297,0,0,0,0
330,1,330,0.909027172,0.00883849,0.014074838,0.068059499,0,0,0,0
331,1,331,0.908465052,0.0098119,0.01433523,0.067387817,0,0,0,0
332,1,332,0.908785198,0.007959592,0.014771777,0.068483433,0,0,0,0
333,1,333,0.899978673,0.009470428,0.015578132,0.074972767,0,0,0,0
334,1,334,0.90529256,0.007744811,0.01560002,0.07136261,0,0,0,0
335,1,335,0.905535219,0.008589102,0.015656573,0.070219106,0,0,0,0
336,1,336,0.903680341,0.009554869,0.014679902,0.072084889,0,0,0,0
337,1,337,0.903455993,0.007833857,0.014648622,0.074061527,0,0,0,0
338,1,338,0.90023401,0.008505945,0.016347108,0.074912937,0,0,0,0
339,1,339,0.898891666,0.007962777,0.015050007,0.07809555,0,0,0,0
340,1,340,0.898273797,0.008696304,0.016001076,0.077028823,0,0,0,0
341,1,341,0.899855045,0.008933986,0.01776245,0.073448519,0,0,0,0
342,1,342,0.898844148,0.008476519,0.01712032,0.075559012,0,0,0,0
343,1,343,0.898310345,0.009254108,0.018390261,0.074045286,0,0,0,0
344,1,344,0.901816501,0.009247783,0.017206957,0.07172876,0,0,0,0
345,1,345,0.897713552,0.012593251,0.016918001,0.072775196,0,0,0,0
346,1,346,0.9002046,0.014189235,0.016139103,0.069467061,0,0,0,0
347,1,347,0.896866133,0.015335774,0.016728296,0.071069797,0,0,0,0
348,1,348,0.896956289,0.017837321,0.01596281,0.06924358,0,0,0,0
349,1,349,0.899618286,0.021461156,0.014982957,0.0639376,0,0,0,0
350,1,350,0.898918365,0.022243653,0.016436766,0.062401217,0,0,0,0
351,1,351,0.900168705,0.023350363,0.015795786,0.060685146,0,0,0,0
352,1,352,0.898970117,0.024011587,0.016311673,0.060706623,0,0,0,0
353,1,353,0.902296747,0.025161329,0.015118864,0.05742306,0,0,0,0
354,1,354,0.90466438,0.024160059,0.014745126,0.056430435,0,0,0,0
